# lon,lat,eastings (GDA94 MGA55),northings (GDA94 MGA55),mean (mm/yr),std (mm/yr)
150.20,-31.69,803340.8116,6489471.8202,9.71,2.17
150.30,-32.09,811473.3335,6444819.9656,2.42,0.37
150.31,-34.61,803529.4233,6165221.9354,26.24,8.16
150.67,-31.79,847545.3776,6476972.1117,12.22,3.34
148.60,-32.21,650791.6096,6435164.5717,21.63,0.00
149.84,-29.89,774269.9452,6690014.2804,4.90,0.58
150.04,-31.83,787733.1297,6474379.1448,9.38,2.57
150.38,-31.78,820102.2889,6478973.0716,8.30,1.45
148.75,-32.34,664695.0088,6420531.1364,4.79,0.93
150.48,-31.96,828936.7782,6458706.3262,15.78,3.53
150.11,-32.07,793596.0731,6447572.0008,5.11,0.88
150.61,-31.79,841860.0408,6477162.6481,9.48,2.20
148.55,-32.20,646094.8514,6436342.2788,15.84,0.26
148.63,-32.18,653669.7085,6438448.0387,2.45,0.59
150.12,-32.12,794379.9043,6441998.9008,4.43,0.71
150.13,-32.10,795388.3201,6444189.8367,4.58,0.80
150.30,-34.61,802612.0531,6165252.0252,23.24,6.94
148.63,-32.13,653753.6606,6443991.2771,3.11,0.48
149.88,-31.64,773141.0022,6495863.4518,9.67,2.24
149.88,-31.90,772377.2429,6467029.1149,6.53,0.93
150.52,-31.80,833296.3957,6476333.2122,10.57,1.66
149.92,-29.92,781914.6105,6686494.1222,6.67,0.87
150.48,-32.27,827824.9846,6424316.7854,1.89,0.79
150.12,-32.09,794476.3013,6445326.3905,6.36,0.72
150.36,-31.78,818207.2161,6479031.8434,13.00,2.43
148.63,-32.25,653551.9789,6430687.4373,2.95,0.58
150.46,-31.81,827576.7403,6475406.5998,9.96,1.55
150.50,-32.11,830288.3960,6442005.1410,4.79,1.29
149.15,-31.80,703539.9736,6479719.4862,1.47,0.81
149.77,-31.60,762817.3010,6500569.3867,3.54,1.22
148.68,-32.35,658088.9802,6419527.9757,3.99,1.16
148.61,-32.15,651833.7394,6441802.3760,3.04,0.51
149.96,-32.34,778604.5735,6418024.9930,3.02,0.53
149.87,-29.90,777140.6799,6688833.4790,5.43,0.67
149.87,-29.90,777140.6799,6688833.4790,5.43,0.67
148.65,-32.32,655316.8693,6422897.9347,3.72,0.81
150.02,-31.97,785406.4694,6458904.7266,6.37,1.48
149.90,-29.91,780010.8637,6687651.8875,6.45,0.85
148.57,-32.21,647963.9560,6435206.2771,3.78,0.82
149.91,-31.84,775394.1823,6473607.4987,6.48,0.95
148.69,-32.34,659047.6045,6420621.8544,3.67,1.07
148.65,-32.11,655674.3954,6446179.8403,3.36,0.54
150.38,-31.62,820653.0954,6496720.9444,4.17,0.98
148.64,-32.24,654511.0628,6431781.7516,1.65,0.43
150.27,-32.07,808707.7214,6447124.8111,4.13,0.78
149.97,-29.97,786600.5003,6680826.0744,7.81,1.18
149.69,-31.82,754621.8507,6476362.7604,5.05,1.39
148.55,-32.21,646078.8635,6435233.6417,3.63,0.83
150.24,-31.64,807299.1917,6494905.5403,5.16,1.22
150.25,-31.70,808049.6960,6488222.2800,6.55,1.45
150.36,-32.13,817000.8347,6440207.7084,3.80,0.74
148.63,-32.24,653568.8115,6431796.0995,2.17,0.51
